ma_tin,tieu_de,loai_hinh,gia,dien_tich,so_phong_ngu,so_tang,huong_nha,tinh_thanh,quan_huyen,phuong_xa,tinh_trang_phap_ly,ngay_dang,ten_moi_gioi_san,nguon,khu_vuc,dia_diem,mo_ta,nguoi_dang,thoi_gian_dang,so_phong,url
46241488,Cập nhật giỏ hàng giá tốt (1PN -6tỷ5) (2PN-8tỷ8) (3PN -13tỷ5) (4PN -19tỷ) Vinhomes Central Park,can_ho_chung_cu,19tỷ,120 m²,1,,Tây,,,P. Thạnh Mỹ Tây mới,,16/09/2026,Thành Phạm Vincentral,batdongsan.com.vn,,,"Cập nhật giỏ hàng giá tốt (1PN -6tỷ5) (2PN-8tỷ8) (3PN -13tỷ5) (4PN -19tỷ) Vinhomes Central Park 13,5 tỷ · 120 m² · 112,5 tr/m² · 3 · 2 · Q. Bình Thạnh (P. Thạnh Mỹ Tây mới) Giỏ hàng căn hộ Vinhomes Central Park giá tham khảo tốt trong khu vực 1PN - 2PN - 3PN - 4PN duplex penthouse. Giá bán & diện tích căn hộ: - 1 phòng ngủ: - diện tích (36m² - 55m²). - Giá bán chỉ: 6tỷ đến 7tỷ5 full nội thất decor. Tư vấn miễn phí gọi ngay: 0909 638 *** .* Căn 2 phòng ngủ. (65m² - 89m²). - Giá bán chỉ: 8tỷ8 đến 11tỷ5 (full nội thất decor). Tư vấn miễn phí gọi ngay: 0909 638 *** .* Căn 3 phòng ngủ (96m² - 115m² - 120m²). - Giá bán chỉ: 12t... Thành Phạm Vincentral Đăng hôm nay 0909 638 *** · Hiện số",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-vinhomes-central-park/cap-nhat-gio-hang-gia-tot-1pn-6ty5-2pn-8ty8-3pn-13ty5-4pn-19ty-park-pr46241488
45491830,"Em Đảm cập nhật GH Green River giá tốt 9/2026, 60m2 2,75 tỷ, 65m2 2,8 tỷ, 82m2 3,2 tỷ. 0906 435 ***",can_ho_chung_cu,"2,75 tỷ",60 m²,2,,Đông,,Quận 8 (P. Bình Đông mới),P. Bình Đông mới,sổ hồng,16/09/2026,Lê Hoàng Đảm,batdongsan.com.vn,Quận 8 (P. Bình Đông mới),,"Em Đảm cập nhật GH Green River giá tốt 9/2026, 60m2 2,75 tỷ, 65m2 2,8 tỷ, 82m2 3,2 tỷ. 0906 435 *** 2,75 tỷ · 60 m² · 45,83 tr/m² · 2 · 2 · Quận 8 (P. Bình Đông mới) Em Đảm chuyên bán căn hộ Green River - MT Phạm Thế Hiển 32m, một trong dự án có quy mô và mức giá tốt bật nhất Quận 8 thời điểm hiện tại. Luôn báo giá đúng sự thật là tiêu chuẩn làm việc của em! ----------- Em cập nhật giỏ hàng giá tốt Green River hiện tại: Căn hộ dạng suất tái định cư số lượng hạn chế, pháp lý HĐ mua bán, sở hữu lâu dài tháng 9 - 12/2026 cấp sổ hồng: + Loại 60m² 2PN - 2WC giá 2,75 - 2,8 tỷ/căn. + Loại 65m² 2PN - 2WC giá 2,8 - 2,... Lê Hoàng Đảm Đăng hôm nay 0906 435 *** · Hiện số",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-the-hien-phuong-6-10-green-river-quan-8/hang-hot-suat-noi-bo-tai-inh-70m2-2pn-gia-3-ty-3pn-82m2-3-3-ty-lh-pr45491830
46267358,Căn hộ Q7 Vlasta Premier DT 80.33m² 02PN 02WC sở hữu từ 959 triệu (15%) view sông cạnh hồ bơi,can_ho_chung_cu,959 triệu,80.33m²,02,,Nam,Hồ Chí Minh,Quận 7 (P. Phú Thuận mới),P. Phú Thuận mới,,16/09/2026,Nguyễn Anh Tú,batdongsan.com.vn,Quận 7 (P. Phú Thuận mới),,"Căn hộ Q7 Vlasta Premier DT 80.33m² 02PN 02WC sở hữu từ 959 triệu (15%) view sông cạnh hồ bơi 6,06 tỷ · 80,33 m² · 75,39 tr/m² · 2 · 2 · Quận 7 (P. Phú Thuận mới) - Vị trí đắc địa: Mặt tiền trục đường Đào Trí, phường Phú Thuận (Quận 7 cũ), TP HCM. - Phát triển bởi tập đoàn Văn Phú hơn 23 năm kinh nghiệm với triết lý bất động sản vị nhân sinh. - Diện tích 80.33m² gồm 02PN 02WC, tầng thấp cạnh hồ bơi tầng 5, view ban công hướng Nam mát mẻ. - Pháp lý chuẩn chỉnh thanh toán 10% ký hợp đồng mua bán ngay. - Tổng giá 6.51 tỷ/ căn (đã bao gồm vat nhận nhà nhận sổ) full nội thất cao cấp gồm máy lạnh âm trần. Giá 6.... Nguyễn Anh Tú Đăng hôm nay 0969 009 *** · Hiện số",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-vlasta-premier-phu-thuan/q7-dt80m-02pn-02wc-goc-so-huu-tu-959-trieu-15-tang-thap-view-song-pr46267358
45837692,"Kim Ngân Grand Marina - Bán căn 3PN - 145m2 giá 54,6 tỷ all in căn góc trực diện sông",can_ho_chung_cu,"54,6 tỷ",145 m²,3,,,,Quận 1 (P. Sài Gòn mới),P. Sài Gòn mới,,16/09/2026,,batdongsan.com.vn,Quận 1 (P. Sài Gòn mới),,"Kim Ngân Grand Marina - Bán căn 3PN - 145m2 giá 54,6 tỷ all in căn góc trực diện sông 54,6 tỷ · 145 m² Quận 1 (P. Sài Gòn mới) Đăng hôm nay",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-grand-marina-saigon/kim-ngan-ban-3pn-145m2-gia-54-ty-allin-goc-truc-dien-song-pr45837692
46296014,"Bán căn hộ 8x Plus view Nam, sổ hồng sẵn, nhà sạch sẽ. Giá 2,95 tỷ, xem nhà LH e Lộc 0911 808 ***",can_ho_chung_cu,"2,95 tỷ",62 m²,,,Nam,,Quận 12 (P. Đông Hưng Thuận mới),P. Đông Hưng Thuận mới,sổ hồng,16/09/2026,,batdongsan.com.vn,Quận 12 (P. Đông Hưng Thuận mới),,"Bán căn hộ 8x Plus view Nam, sổ hồng sẵn, nhà sạch sẽ. Giá 2,95 tỷ, xem nhà LH e Lộc 0911 808 *** 2,95 tỷ · 62 m² Quận 12 (P. Đông Hưng Thuận mới) Đăng hôm nay",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-chinh-phuong-tan-thoi-nhat-1-can-ho-8x-plus-truong-chinh/ban-view-nam-so-hong-san-nha-sach-se-gia-2-95-ty-xem-nha-lh-e-loc-pr46296014
46058769,"Căn hộ có gác full sàn 70m2 có 2 PN, 1 WC ngay tại Quận 7, giá 3 tỷ 650",can_ho_chung_cu,3 tỷ,38 m²,2,,,,Quận 7,P. Tân Hưng mới,,16/09/2026,,batdongsan.com.vn,Quận 7,,"Căn hộ có gác full sàn 70m2 có 2 PN, 1 WC ngay tại Quận 7, giá 3 tỷ 650 3,65 tỷ · 38 m² Quận 7 (P. Tân Hưng mới) Đăng hôm nay",,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-be-van-cam-phuong-tan-kieng-m-one-nam-sai-gon/co-gac-full-san-70m2-co-2-pn-1wc-ngay-tai-quan-7-gia-3ty790-pr46058769
46185954,"Bán căn hộ 3PN, 2WC, 80m2 tại Green River, Quận 8, giá tốt! Hot",can_ho_chung_cu,"3,45 tỷ",80 m²,3,,Đông,,Quận 8,P. Bình Đông mới,,15/09/2026,,batdongsan.com.vn,Quận 8,,"Bán căn hộ 3PN, 2WC, 80m2 tại Green River, Quận 8, giá tốt! Hot 3,45 tỷ · 80 m² Quận 8 (P. Bình Đông mới) Đăng hôm qua",,15/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-the-hien-phuong-6-10-green-river-quan-8/ban-3pn-2wc-80m2-tai-8-gia-tot-hot-pr46185954
46286543,"Bán nhanh căn hộ 3PN view trực diện công viên giá chỉ 8,5tỷ tại Masteri Centre Point Vinhomes Q9",can_ho_chung_cu,"8,5tỷ",98 m²,3,,,,Quận 9 (P. Long Bình mới),P. Long Bình mới,,15/09/2026,,batdongsan.com.vn,Quận 9 (P. Long Bình mới),,"Bán nhanh căn hộ 3PN view trực diện công viên giá chỉ 8,5tỷ tại Masteri Centre Point Vinhomes Q9 8,5 tỷ · 98 m² Quận 9 (P. Long Bình mới) Đăng hôm qua",,15/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-masteri-centre-point/ban-nhanh-3pn-view-truc-dien-cong-vien-gia-chi-8ty5-tai-vinhomes-quan-9-pr46286543
46293765,Bán Sky Villa Celadon City 216m² 4PN 2WC Nhà Mới 100% giá 14 tỷ,can_ho_chung_cu,14 tỷ,216m²,4,,,,,P. Tân Sơn Nhì mới,,16/09/2026,,batdongsan.com.vn,,,Bán Sky Villa Celadon City 216m² 4PN 2WC Nhà Mới 100% giá 14 tỷ 14 tỷ · 216 m² Q. Tân Phú (P. Tân Sơn Nhì mới) Đăng hôm nay,,16/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-n1-phuong-son-ky-diamond-alnata-plus-celadon-city/ban-sky-villa-216m-4pn-2wc-nha-moi-100-gia-13-ty-pr46293765
46079718,"Gấp bán lỗ 2PN 83 m2 sổ hồng, tầng trung view LK81, Vạn Phúc, hồ bơi mảng xanh. Có nội thất",can_ho_chung_cu,"5,8 tỷ",83 m²,2,,,,,P. Hiệp Bình mới,sổ hồng,15/09/2026,,batdongsan.com.vn,,,"Gấp bán lỗ 2PN 83 m2 sổ hồng, tầng trung view LK81, Vạn Phúc, hồ bơi mảng xanh. Có nội thất 5,8 tỷ · 83 m² TP. Thủ Đức (P. Hiệp Bình mới) Đăng hôm qua",,15/09/2026,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-so-6-phuong-hiep-binh-phuoc-urban-green/ro-hang-ban-gia-re-2pn-84m2-hong-tang-trung-view-lk81-van-phuc-boi-mang-xanh-co-noi-that-pr46079718
